Date,Team,Acquired,Relinquished,Notes
20/02/2015,Nets,,Jarrett Jack,sore left hamstring (DTD)
20/02/2015,Nuggets,,Ty Lawson,unspecified (DTD)
20/02/2015,Nuggets,Erick Green,,returned to lineup
20/02/2015,Pelicans,Anthony Davis,,returned to lineup
20/02/2015,Pelicans,Ryan Anderson,,returned to lineup
20/02/2015,Pistons,Cartier Martin,,returned to lineup
20/02/2015,Suns,Alex Len,,returned to lineup
20/02/2015,Wizards,,Kevin Seraphin,flu (DTD)
20/02/2015,Wizards,Kris Humphries,,returned to lineup
21/02/2015,Bucks,Ersan Ilyasova,,returned to lineup
21/02/2015,Clippers,Austin Rivers,,returned to lineup
21/02/2015,Hornets,Michael Kidd-Gilchrist,,returned to lineup
21/02/2015,Timberwolves,,Anthony Bennett,sprained right ankle (DTD)
21/02/2015,Timberwolves,,Shabazz Muhammad,ruptured ligament in left middle finger (out for season)
22/02/2015,Blazers,,LaMarcus Aldridge,sprained right thumb (DTD)
22/02/2015,Nuggets,Ty Lawson,,returned to lineup
22/02/2015,Pelicans,,Anthony Davis,sprained right shoulder (DTD)
22/02/2015,Pelicans,,Ryan Anderson,sprained MCL in right knee (DTD)
22/02/2015,Thunder,,Kevin Durant,surgery on right foot (out for season)
22/02/2015,Warriors,,Stephen Curry,sprained right ankle / sore right foot (P) (DTD)
22/02/2015,Wizards,Kevin Seraphin,,returned to lineup
22/02/2015,Pelicans,Shawne Williams,,returned to lineup
23/02/2015,76ers,,Jason Richardson,bruised left knee (DTD)
23/02/2015,76ers,,Jerami Grant,bruised lower back (DTD)
23/02/2015,Nets,,Bojan Bogdanovic,sprained left ankle (DTD)
23/02/2015,Nuggets,,Wilson Chandler,sore left groin (DTD)
23/02/2015,Raptors,Lou Williams,,returned to lineup
23/02/2015,Rockets,,Kostas Papanikolaou,sprained right ankle (DTD)
23/02/2015,Rockets,,Patrick Beverley,flu/illness (DTD)
23/02/2015,Timberwolves,,Gary Neal,sprained right ankle (DTD)
23/02/2015,Timberwolves,,Shabazz Muhammad,surgery on left middle finger to repair ruptured ligament (out for season)
24/02/2015,Bulls,,Derrick Rose,torn medial meniscus in right knee (out indefinitely)
24/02/2015,Thunder,,Steve Novak,appendectomy (out indefinitely)
24/02/2015,Warriors,Stephen Curry,,returned to lineup
25/02/2015,76ers,Jason Richardson,,returned to lineup
25/02/2015,76ers,Jerami Grant,,returned to lineup
25/02/2015,Blazers,LaMarcus Aldridge,,returned to lineup
25/02/2015,Bucks,,O.J. Mayo,sore right hamstring (DTD)
25/02/2015,Bucks,Michael Carter-Williams,,returned to lineup
25/02/2015,Knicks,,Lance Thomas,strained left groin (DTD)
25/02/2015,Lakers,,Nick Young,fractured left kneecap (out for season)
25/02/2015,Lakers,,Ronnie Price,surgery on right elbow to remove bone spurs and chips (out for season)
25/02/2015,Mavericks,,Tyson Chandler,strained left hip (DTD)
25/02/2015,Nets,Jarrett Jack,,returned to lineup
25/02/2015,Nuggets,,Kenneth Faried,bruised left thumb (DTD)
25/02/2015,Timberwolves,Gary Neal,,returned to lineup
25/02/2015,Wizards,,Paul Pierce,bruised right knee (DTD)
27/02/2015,Cavaliers,,Kyrie Irving,strained left shoulder (DTD)
27/02/2015,Cavaliers,,LeBron James,back injury (DTD)
27/02/2015,Knicks,,Jose Calderon,sore/strained left Achilles (out for season)
27/02/2015,Knicks,Lance Thomas,,returned to lineup
27/02/2015,Knicks,Shane Larkin,,returned to lineup
27/02/2015,Nuggets,,Darrell Arthur,sprained right calf (DTD)
27/02/2015,Nuggets,,Jusuf Nurkic,sprained right ankle (DTD)
27/02/2015,Nuggets,Kenneth Faried,,returned to lineup
27/02/2015,Nuggets,Wilson Chandler,,returned to lineup
27/02/2015,Rockets,Patrick Beverley,,returned to lineup
27/02/2015,Thunder,,Enes Kanter,bruised right thigh (DTD)
27/02/2015,Warriors,,Andre Iguodala,rest (DTD)
27/02/2015,Wizards,,Kris Humphries,strained left groin (DTD)
27/02/2015,Bulls,,Derrick Rose,surgery on right knee to repair torn medial meniscus (out indefinitely)
27/02/2015,Timberwolves,,Robbie Hummel,fractured right hand (DTD)
28/02/2015,Bucks,,Jared Dudley,knee injury (DTD)
28/02/2015,Bucks,O.J. Mayo,,returned to lineup
28/02/2015,Nets,Bojan Bogdanovic,,returned to lineup
28/02/2015,Thunder,,Russell Westbrook,surgery on right cheek to repair fracture (DTD)
28/02/2015,Wizards,Paul Pierce,,returned to lineup
01/03/2015,Cavaliers,LeBron James,,returned to lineup
01/03/2015,Thunder,Enes Kanter,,returned to lineup
01/03/2015,Warriors,Andre Iguodala,,returned to lineup
02/03/2015,76ers,,Jason Richardson,bruised left wrist (DTD)
02/03/2015,76ers,,Robert Covington,bruised right elbow (DTD)
02/03/2015,Bucks,,O.J. Mayo,sore right hamstring (DTD)
02/03/2015,Bucks,Jared Dudley,,returned to lineup
02/03/2015,Bulls,,Jimmy Butler,sprained left elbow (DTD)
02/03/2015,Clippers,,Matt Barnes,strained right hamstring (DTD)
02/03/2015,Raptors,,Kyle Lowry,various injuries (DTD)
02/03/2015,Timberwolves,,Kevin Martin,illness (DTD)
02/03/2015,Timberwolves,,Nikola Pekovic,ankle injury (DTD)
02/03/2015,Warriors,,Leandro Barbosa,illness / upper respiratory infection (DTD)
03/03/2015,Cavaliers,Kyrie Irving,,returned to lineup
03/03/2015,Grizzlies,,Beno Udrih,illness (DTD)
03/03/2015,Grizzlies,,Zach Randolph,illness (DTD)
03/03/2015,Kings,,Darren Collison,surgery on right hip to repair strained flexor (out for season)
03/03/2015,Nuggets,Darrell Arthur,,returned to lineup
04/03/2015,76ers,Jason Richardson,,returned to lineup
04/03/2015,Clippers,,Jamal Crawford,bruised right calf (DTD)
04/03/2015,Grizzlies,Beno Udrih,,returned to lineup
04/03/2015,Grizzlies,Zach Randolph,,returned to lineup
04/03/2015,Magic,,Luke Ridnour,strained right hamstring (DTD)
04/03/2015,Pacers,,C.J. Watson,elbow injury (DTD)
04/03/2015,Pelicans,Anthony Davis,,returned to lineup
04/03/2015,Thunder,Russell Westbrook,,returned to lineup
04/03/2015,Timberwolves,Kevin Martin,,returned to lineup
04/03/2015,Timberwolves,Nikola Pekovic,,returned to lineup
06/03/2015,76ers,Robert Covington,,returned to lineup
06/03/2015,Blazers,,Wes Matthews Jr.,torn left Achilles tendon (out for season)
06/03/2015,Heat,,Dwyane Wade,hip injury (DTD)
06/03/2015,Heat,,Luol Deng,thigh injury (DTD)
06/03/2015,Heat,,Mario Chalmers,knee injury (DTD)
06/03/2015,Magic,,Nikola Vucevic,sore left ankle (DTD)
06/03/2015,Magic,,Willie Green,sore right Achilles (DTD)
06/03/2015,Pacers,C.J. Watson,,returned to lineup
06/03/2015,Raptors,Kyle Lowry,,returned to lineup
06/03/2015,Warriors,Leandro Barbosa,,returned to lineup
06/03/2015,Rockets,,Kostas Papanikolaou,sprained right ankle (DTD)
07/03/2015,Hawks,,Pero Antic,ankle injury (DTD)
07/03/2015,Heat,,Goran Dragic,back injury (DTD)
07/03/2015,Heat,,Hassan Whiteside,ankle injury (DTD)
07/03/2015,Heat,Dwyane Wade,,returned to lineup
07/03/2015,Heat,Mario Chalmers,,returned to lineup
07/03/2015,Knicks,,Lou Amundson,lower back spasms (DTD)
07/03/2015,Suns,,Alex Len,sprained right ankle (DTD)
08/03/2015,Clippers,Matt Barnes,,returned to lineup
08/03/2015,Pistons,,Joel Anthony,groin injury (DTD)
09/03/2015,Heat,,Udonis Haslem,wrist injury (DTD)
09/03/2015,Heat,Hassan Whiteside,,returned to lineup
09/03/2015,Heat,Luol Deng,,returned to lineup
09/03/2015,Knicks,,Quincy Acy,sore left knee (DTD)
09/03/2015,Knicks,,Tim Hardaway Jr.,lower back spasms (DTD)
09/03/2015,Knicks,Lou Amundson,,returned to lineup
09/03/2015,Suns,Alex Len,,returned to lineup
10/03/2015,Jazz,,Gordon Hayward,strained lower back (DTD)
10/03/2015,Magic,Luke Ridnour,,returned to lineup
10/03/2015,Magic,Nikola Vucevic,,returned to lineup
10/03/2015,Magic,Willie Green,,returned to lineup
10/03/2015,Pelicans,,Tyreke Evans,ankle injury (DTD)
11/03/2015,Bucks,,Jerryd Bayless,sore right ankle (DTD)
11/03/2015,Bucks,O.J. Mayo,,returned to lineup
11/03/2015,Bulls,,Joakim Noah,left knee injury (DTD)
11/03/2015,Hawks,Pero Antic,,returned to lineup
11/03/2015,Heat,Goran Dragic,,returned to lineup
11/03/2015,Heat,Udonis Haslem,,returned to lineup
11/03/2015,Magic,,Willie Green,lower back spasms (DTD)
11/03/2015,Nets,,Alan Anderson,bruised lower back (DTD)
12/03/2015,Bucks,,O.J. Mayo,hamstring injury / rest (DTD)
12/03/2015,Grizzlies,,Marc Gasol,rest (DTD)
12/03/2015,Grizzlies,,Mike Conley Jr.,ankle injury (DTD)
12/03/2015,Grizzlies,,Zach Randolph,rest (DTD)
12/03/2015,Jazz,Gordon Hayward,,returned to lineup
12/03/2015,Knicks,Tim Hardaway Jr.,,returned to lineup
12/03/2015,Nets,,Sergey Karasev,"surgery on right knee to repair torn MCL, dislocated patella (out for season) (date approximate)"
12/03/2015,Wizards,,Garrett Temple,hamstring injury (DTD)
13/03/2015,76ers,,Jason Richardson,rest (DTD)
13/03/2015,Blazers,,Alonzo Gee,oral surgery (DTD)
13/03/2015,Bulls,Joakim Noah,,returned to lineup
13/03/2015,Kings,,Ryan Hollins,back spasms (DTD)
13/03/2015,Nuggets,,Darrell Arthur,knee injury (DTD)
13/03/2015,Nuggets,,Ty Lawson,illness (DTD)
13/03/2015,Nuggets,Jusuf Nurkic,,returned to lineup
13/03/2015,Pistons,Joel Anthony,,returned to lineup
13/03/2015,Timberwolves,,Kevin Garnett,sore left knee (out for season)
13/03/2015,Timberwolves,,Nikola Pekovic,sprained right ankle (out for season)
13/03/2015,Warriors,,Andre Iguodala,rest (DTD)
13/03/2015,Warriors,,Klay Thompson,rest (DTD)
13/03/2015,Warriors,,Stephen Curry,rest (DTD)
13/03/2015,Warriors,,Ognen Kuzmic,shoulder injury (DTD)
14/03/2015,76ers,,Furkan Aldemir,bruised ribs (DTD)
14/03/2015,76ers,,Luc Mbah a Moute,rest (DTD)
14/03/2015,76ers,Jason Richardson,,returned to lineup
14/03/2015,Bucks,,Jared Dudley,knee injury (DTD)
14/03/2015,Bucks,,Michael Carter-Williams,ankle injury (DTD)
14/03/2015,Bucks,O.J. Mayo,,returned to lineup
14/03/2015,Grizzlies,,Jon Leuer,back injury (DTD)
14/03/2015,Grizzlies,Marc Gasol,,returned to lineup
14/03/2015,Grizzlies,Zach Randolph,,returned to lineup
14/03/2015,Kings,,Rudy Gay,strained patellar tendon in left knee (DTD)
14/03/2015,Knicks,Quincy Acy,,returned to lineup
14/03/2015,Nets,Alan Anderson,,returned to lineup
14/03/2015,Suns,,Alex Len,sprained right ankle (DTD)
14/03/2015,Warriors,Andre Iguodala,,returned to lineup
14/03/2015,Warriors,Klay Thompson,,returned to lineup
14/03/2015,Warriors,Stephen Curry,,returned to lineup
15/03/2015,Blazers,Alonzo Gee,,returned to lineup
15/03/2015,Hawks,,DeMarre Carroll,rest (DTD)
15/03/2015,Hawks,,Jeff Teague,rest (DTD)
15/03/2015,Hawks,,Paul Millsap,rest (DTD)
15/03/2015,Nuggets,,Wilson Chandler,knee injury (DTD)
15/03/2015,Nuggets,Ty Lawson,,returned to lineup
15/03/2015,Pelicans,Tyreke Evans,,returned to lineup
15/03/2015,Timberwolves,,Gary Neal,hand injury / illness (DTD)
15/03/2015,Timberwolves,,Ricky Rubio,sore right ankle (DTD)
16/03/2015,76ers,Luc Mbah a Moute,,returned to lineup
16/03/2015,Hawks,,Al Horford,rest (DTD)
16/03/2015,Hawks,,Kyle Korver,fractured nose (DTD)
16/03/2015,Hawks,DeMarre Carroll,,returned to lineup
16/03/2015,Hawks,Jeff Teague,,returned to lineup
16/03/2015,Hawks,Paul Millsap,,returned to lineup
16/03/2015,Nuggets,,Danilo Gallinari,rest (DTD)
16/03/2015,Nuggets,,Kenneth Faried,rest (DTD)
16/03/2015,Nuggets,,Ty Lawson,rest (DTD)
16/03/2015,Nuggets,Darrell Arthur,,returned to lineup
16/03/2015,Nuggets,Wilson Chandler,,returned to lineup
16/03/2015,Spurs,,Aron Baynes,rib injury (DTD)
16/03/2015,Spurs,,Manu Ginobili,sprained right ankle (DTD)
17/03/2015,Bucks,,Jared Dudley,back spasms (P) (DTD)
17/03/2015,Bucks,,O.J. Mayo,sore right hamstring (DTD)
17/03/2015,Bucks,Jerryd Bayless,,returned to lineup
17/03/2015,Bucks,Michael Carter-Williams,,returned to lineup
17/03/2015,Clippers,,Matt Barnes,sore right hamstring (DTD)
17/03/2015,Knicks,,Cleanthony Early,sprained left ankle (DTD)
17/03/2015,Knicks,,Tim Hardaway Jr.,sprained right wrist (DTD)
17/03/2015,Rockets,,Jason Terry,hamstring injury (DTD)
17/03/2015,Thunder,,Serge Ibaka,arthroscopic surgery on right knee (out indefinitely)
18/03/2015,76ers,Furkan Aldemir,,returned to lineup
18/03/2015,Hawks,Al Horford,,returned to lineup
18/03/2015,Kings,,DeMarcus Cousins,strained right calf (DTD)
18/03/2015,Kings,Rudy Gay,,returned to lineup
18/03/2015,Kings,Ryan Hollins,,returned to lineup
18/03/2015,Magic,,Dewayne Dedmon,sprained left ankle (DTD)
18/03/2015,Magic,,Tobias Harris,sprained left ankle (DTD)
18/03/2015,Timberwolves,,Justin Hamilton ,migraine headache (DTD)
18/03/2015,Timberwolves,Ricky Rubio,,returned to lineup
18/03/2015,Warriors,Ognen Kuzmic,,returned to lineup
19/03/2015,Nuggets,Danilo Gallinari,,returned to lineup
19/03/2015,Nuggets,Kenneth Faried,,returned to lineup
19/03/2015,Nuggets,Ty Lawson,,returned to lineup
19/03/2015,Pelicans,,Anthony Davis,sprained left ankle (DTD)
19/03/2015,Suns,,Marcus Thornton ,sprained right big toe (DTD)
19/03/2015,Timberwolves,,Gary Neal,sore right ankle (DTD)
19/03/2015,Timberwolves,,Ricky Rubio,sore right ankle (DTD)
20/03/2015,76ers,,Thomas Robinson,bruised ribs (DTD)
20/03/2015,Clippers,Matt Barnes,,returned to lineup
20/03/2015,Nuggets,,Jameer Nelson,hip injury (DTD)
20/03/2015,Pelicans,,Omer Asik,strained right calf (DTD)
20/03/2015,Rockets,,Terrence Jones,partially collapsed lung (DTD)
20/03/2015,Thunder,,Enes Kanter,sprained left ankle (DTD)
21/03/2015,Blazers,,Chris Kaman,strained right shoulder (DTD)
21/03/2015,Grizzlies,Jon Leuer,,returned to lineup
21/03/2015,Lakers,,Steve Nash,retired (effective at the end of the season)
21/03/2015,Mavericks,,Jose Barea ,sprained left ankle (DTD)
21/03/2015,Pistons,,Shawne Williams,illness (DTD)
21/03/2015,Rockets,Jason Terry,,returned to lineup
21/03/2015,Suns,Alex Len,,returned to lineup
21/03/2015,Thunder,,Nick Collison,sprained left ankle (DTD)
21/03/2015,Timberwolves,Gary Neal,,returned to lineup
22/03/2015,76ers,Thomas Robinson,,returned to lineup
22/03/2015,Magic,,Channing Frye,illness (DTD)
22/03/2015,Magic,Willie Green,,returned to lineup
22/03/2015,Nuggets,,Randy Foye,stomach flu (DTD)
22/03/2015,Nuggets,Jameer Nelson,,returned to lineup
22/03/2015,Pelicans,,Tyreke Evans,sprained left ankle (DTD)
22/03/2015,Pelicans,Anthony Davis,,returned to lineup
22/03/2015,Thunder,Enes Kanter,,returned to lineup
23/03/2015,Knicks,,Alexey Shved,fractured rib (out for season)
23/03/2015,Knicks,,Travis Wear,sore lower back (out for season)
23/03/2015,Timberwolves,,Gary Neal,sprained left ankle (out for season)
23/03/2015,Timberwolves,,Kevin Martin,strained left hamstring (DTD)
24/03/2015,76ers,,Jason Richardson,rest (DTD)
24/03/2015,Blazers,,LaMarcus Aldridge,left finger injury (DTD)
24/03/2015,Blazers,,Nicolas Batum,lower back injury (DTD)
24/03/2015,Bucks,O.J. Mayo,,returned to lineup
24/03/2015,Heat,,Tyler Johnson,illness (DTD)
24/03/2015,Pistons,Shawne Williams,,returned to lineup
24/03/2015,Thunder,,Andre Roberson,sprained left ankle (DTD)
25/03/2015,76ers,,Luc Mbah a Moute,sore left shoulder (DTD)
25/03/2015,76ers,Jason Richardson,,returned to lineup
25/03/2015,Blazers,LaMarcus Aldridge,,returned to lineup
25/03/2015,Celtics,Isaiah Thomas,,returned to lineup
25/03/2015,Heat,,Chris Andersen,bruised left calf (DTD)
25/03/2015,Heat,,Hassan Whiteside,hand injury (DTD)
25/03/2015,Heat,Tyler Johnson,,returned to lineup
25/03/2015,Knicks,Cleanthony Early,,returned to lineup
25/03/2015,Magic,Channing Frye,,returned to lineup
25/03/2015,Magic,Dewayne Dedmon,,returned to lineup
25/03/2015,Magic,Tobias Harris,,returned to lineup
25/03/2015,Nuggets,,Darrell Arthur,calf injury (out for season)
25/03/2015,Nuggets,Randy Foye,,returned to lineup
25/03/2015,Pelicans,Omer Asik,,returned to lineup
25/03/2015,Pelicans,Tyreke Evans,,returned to lineup
25/03/2015,Timberwolves,Justin Hamilton ,,returned to lineup
25/03/2015,Wizards,,Toure Murry,sprained left ankle (DTD)
26/03/2015,Bucks,Jared Dudley,,returned to lineup
26/03/2015,Pacers,,David West,allergic reaction / illness (DTD)
26/03/2015,Wizards,Toure Murry,,returned to lineup
27/03/2015,76ers,Luc Mbah a Moute,,returned to lineup
27/03/2015,Blazers,Chris Kaman,,returned to lineup
27/03/2015,Blazers,Nicolas Batum,,returned to lineup
27/03/2015,Hawks,,Pero Antic,stiff neck (DTD)
27/03/2015,Lakers,,Carlos Boozer,illness / upper respiratory infection (DTD)
27/03/2015,Magic,,Dewayne Dedmon,sore left ankle (DTD)
27/03/2015,Nets,,Thaddeus Young,strained left knee (DTD)
27/03/2015,Rockets,,Donatas Motiejunas,sore lower back (out for season)
27/03/2015,Clippers,Nate Robinson,,returned to lineup
28/03/2015,Bulls,Cameron Bairstow,,returned to lineup
28/03/2015,Hawks,,Al Horford,rest (DTD)
28/03/2015,Hawks,,DeMarre Carroll,rest (DTD)
28/03/2015,Hawks,,Kyle Korver,rest (DTD)
28/03/2015,Hawks,,Paul Millsap,rest (DTD)
28/03/2015,Hawks,Pero Antic,,returned to lineup
28/03/2015,Jazz,,Derrick Favors,back spasms (DTD)
28/03/2015,Mavericks,,Monta Ellis,right calf injury (DTD)
28/03/2015,Nuggets,,Danilo Gallinari,shoulder injury (DTD)
29/03/2015,76ers,,Jason Richardson,left knee injury (DTD)
29/03/2015,Grizzlies,,Tony Allen,strained left hamstring (DTD)
29/03/2015,Heat,,Shabazz Napier,hip injury / sports hernia (out for season)
29/03/2015,Lakers,,Jeremy Lin,illness / upper respiratory infection (DTD)
29/03/2015,Pacers,David West,,returned to lineup
29/03/2015,Suns,Brandon Knight,,returned to lineup
30/03/2015,76ers,,Jerami Grant,illness / upper respiratory infection (DTD)
30/03/2015,76ers,,Luc Mbah a Moute,sore left shoulder (DTD)
30/03/2015,Bucks,,Jared Dudley,sore back (DTD)
30/03/2015,Hawks,Al Horford,,returned to lineup
30/03/2015,Hawks,DeMarre Carroll,,returned to lineup
30/03/2015,Hawks,Kyle Korver,,returned to lineup
30/03/2015,Hawks,Paul Millsap,,returned to lineup
30/03/2015,Kings,,DeMarcus Cousins,rest (DTD)
30/03/2015,Rockets,,Dwight Howard,rest / sore right knee (DTD)
30/03/2015,Timberwolves,,Gorgui Dieng,concussion (out for season)
31/03/2015,Heat,,Luol Deng,bruised right knee (DTD)
31/03/2015,Heat,,Udonis Haslem,illness (DTD)
31/03/2015,Heat,Chris Andersen,,returned to lineup
31/03/2015,Nets,Thaddeus Young,,returned to lineup
31/03/2015,Rockets,,Patrick Beverley,surgery on left wrist to repair torn ligaments (out for season)
31/03/2015,Thunder,,Kevin Durant,surgery on right foot to install bone graft (out for season)
01/04/2015,76ers,Jason Richardson,,returned to lineup
01/04/2015,76ers,Jerami Grant,,returned to lineup
01/04/2015,76ers,Luc Mbah a Moute,,returned to lineup
01/04/2015,Bucks,Jared Dudley,,returned to lineup
01/04/2015,Heat,,Shabazz Napier,surgery to repair sports hernia (out for season)
01/04/2015,Jazz,,Rodney Hood,concussion (DTD)
01/04/2015,Jazz,Derrick Favors,,returned to lineup
01/04/2015,Kings,,Rudy Gay,concussion (DTD)
01/04/2015,Kings,DeMarcus Cousins,,returned to lineup
01/04/2015,Lakers,Carlos Boozer,,returned to lineup
01/04/2015,Lakers,Jeremy Lin,,returned to lineup
01/04/2015,Magic,Dewayne Dedmon,,returned to lineup
01/04/2015,Nuggets,,J.J. Hickson,knee injury (DTD)
01/04/2015,Nuggets,Danilo Gallinari,,returned to lineup
01/04/2015,Pelicans,Ryan Anderson,,returned to lineup
01/04/2015,Pistons,,Spencer Dinwiddie,sprained left ankle (out for season)
01/04/2015,Lakers,Steve Nash,,returned to lineup
02/04/2015,Blazers,,Dorell Wright,fractured left hand (out for season)
02/04/2015,Heat,Luol Deng,,returned to lineup
02/04/2015,Lakers,,Wayne Ellington,separated right shoulder (DTD)
02/04/2015,Rockets,Dwight Howard,,returned to lineup
02/04/2015,Suns,,Alex Len,fractured nose (out for season)
03/04/2015,76ers,,Isaiah Canaan,sprained right foot (out for season)
03/04/2015,Knicks,Tim Hardaway Jr.,,returned to lineup
03/04/2015,Nuggets,J.J. Hickson,,returned to lineup
03/04/2015,Timberwolves,,Anthony Bennett,sprained right ankle (DTD)
03/04/2015,Timberwolves,Kevin Martin,,returned to lineup
04/04/2015,76ers,,Thomas Robinson,sprained left ankle (DTD)
04/04/2015,Heat,Udonis Haslem,,returned to lineup
04/04/2015,Hornets,,Al Jefferson,sore right knee (out for season)
04/04/2015,Jazz,,Trey Burke,tightness in back (DTD)
04/04/2015,Jazz,Rodney Hood,,returned to lineup
04/04/2015,Mavericks,,Chandler Parsons,right knee injury (DTD)
04/04/2015,Nets,,Alan Anderson,sprained left ankle (DTD)
04/04/2015,Nuggets,,Danilo Gallinari,undisclosed (DTD)
04/04/2015,Nuggets,,Ty Lawson,bruised right forearm (P) / hip flexor injury (DTD)
04/04/2015,Raptors,,Amir Johnson,sprained right ankle (DTD)
04/04/2015,Suns,,Brandon Knight,sprained left ankle (DTD)
05/04/2015,76ers,,Luc Mbah a Moute,sore left shoulder (DTD)
05/04/2015,Heat,,Chris Andersen,bruised left foot (DTD)
05/04/2015,Heat,,Hassan Whiteside,lacerated right hand (DTD)
05/04/2015,Knicks,,Cleanthony Early,sprained left ankle (DTD)
06/04/2015,Blazers,,Chris Kaman,sprained right thumb (DTD)
06/04/2015,Blazers,,LaMarcus Aldridge,sprained left thumb (DTD)
06/04/2015,Blazers,,Nicolas Batum,sprained lower back (DTD)
07/04/2015,Heat,,Michael Beasley,knee injury / illness (P) (DTD)
07/04/2015,Heat,Chris Andersen,,returned to lineup
07/04/2015,Heat,Hassan Whiteside,,returned to lineup
07/04/2015,Suns,Marcus Thornton ,,returned to lineup
07/04/2015,Thunder,Andre Roberson,,returned to lineup
07/04/2015,Suns,,Alex Len,fractured nose (out for season)
08/04/2015,76ers,Luc Mbah a Moute,,returned to lineup
08/04/2015,76ers,Thomas Robinson,,returned to lineup
08/04/2015,Blazers,Chris Kaman,,returned to lineup
08/04/2015,Blazers,LaMarcus Aldridge,,returned to lineup
08/04/2015,Blazers,Nicolas Batum,,returned to lineup
08/04/2015,Bucks,,Giannis Antetokounmpo,undisclosed (DTD)
08/04/2015,Hawks,,Thabo Sefolosha,"fractured fibula, ligament damage in leg (out for season)"
08/04/2015,Hornets,,Lance Stephenson,sprained right toe (out for season)
08/04/2015,Jazz,Trey Burke,,returned to lineup
08/04/2015,Kings,,Nik Stauskas,back injury (DTD)
08/04/2015,Kings,,Rudy Gay,concussion (out for season)
08/04/2015,Lakers,,Jeremy Lin,sore left knee (out for season)
08/04/2015,Nuggets,Danilo Gallinari,,returned to lineup
08/04/2015,Nuggets,Ty Lawson,,returned to lineup
08/04/2015,Timberwolves,,Nikola Pekovic,surgery on right Achilles (out for season)
08/04/2015,Nuggets,,Darrell Arthur,strained right calf (out for season)
08/04/2015,Pacers,,C.J. Watson,sore right elbow (DTD)
09/04/2015,Heat,,Henry Walker,elbow injury (DTD)
09/04/2015,Heat,Michael Beasley,,returned to lineup
09/04/2015,Rockets,,Donatas Motiejunas,surgery on back (out for season)
10/04/2015,76ers,,Luc Mbah a Moute,sore/strained left shoulder (out for season)
10/04/2015,76ers,,Nerlens Noel,sprained right ankle (out for season)
10/04/2015,Blazers,,Arron Afflalo,strained right shoulder (out for season)
10/04/2015,Blazers,,LaMarcus Aldridge,sprained left foot (DTD)
10/04/2015,Bucks,Giannis Antetokounmpo,,returned to lineup
10/04/2015,Cavaliers,,Kyrie Irving,sore right hip / rest (DTD)
10/04/2015,Jazz,,Trey Burke,back injury (DTD)
10/04/2015,Kings,Nik Stauskas,,returned to lineup
10/04/2015,Knicks,,Andrea Bargnani,illness (out for season)
10/04/2015,Suns,,Marcus Thornton ,sprained left ankle (DTD)
11/04/2015,76ers,,Ish Smith,strained left groin (DTD)
11/04/2015,Knicks,Cleanthony Early,,returned to lineup
11/04/2015,Timberwolves,,Robbie Hummel,back injury (DTD)
12/04/2015,Cavaliers,,J.R. Smith,rest (DTD)
12/04/2015,Cavaliers,,LeBron James,rest (DTD)
12/04/2015,Hawks,,Al Horford,rest (DTD)
12/04/2015,Hawks,,DeMarre Carroll,rest (DTD)
12/04/2015,Hawks,,Jeff Teague,rest (DTD)
12/04/2015,Hawks,,Kyle Korver,rest (DTD)
12/04/2015,Mavericks,,Amar'e Stoudemire,rest (DTD)
12/04/2015,Suns,,Brandan Wright,foot injury / sore left ankle (out for season)
12/04/2015,Suns,,Reggie Bullock,concussion (out for season)
12/04/2015,Thunder,,Perry Jones III,sprained left ankle (out for season)
13/04/2015,76ers,,Jason Richardson,sore left knee (out for season)
13/04/2015,76ers,Ish Smith,,returned to lineup
13/04/2015,Bulls,,Joakim Noah,sore left knee (DTD)
13/04/2015,Bulls,,Kirk Hinrich,sprained left knee (DTD)
13/04/2015,Bulls,Doug McDermott,,returned to lineup
13/04/2015,Cavaliers,J.R. Smith,,returned to lineup
13/04/2015,Cavaliers,Kyrie Irving,,returned to lineup
13/04/2015,Cavaliers,LeBron James,,returned to lineup
13/04/2015,Hawks,,Pero Antic,illness (DTD)
13/04/2015,Hawks,Al Horford,,returned to lineup
13/04/2015,Hawks,DeMarre Carroll,,returned to lineup
13/04/2015,Hawks,Jeff Teague,,returned to lineup
13/04/2015,Hawks,Kyle Korver,,returned to lineup
13/04/2015,Hornets,,P.J. Hairston,sprained right knee (out for season)
13/04/2015,Jazz,,Derrick Favors,back spasms (DTD)
13/04/2015,Jazz,,Gordon Hayward,Achilles injury (out for season)
13/04/2015,Kings,,Reggie Evans,sprained right thumb (out for season)
13/04/2015,Lakers,,Wes Johnson,sprained left ankle (out for season)
13/04/2015,Magic,,Evan Fournier,right hip injury (out for season)
13/04/2015,Mavericks,Amar'e Stoudemire,,returned to lineup
13/04/2015,Pelicans,,Jrue Holiday,unspecified (DTD)
13/04/2015,Pistons,,Tayshaun Prince,undisclosed (out for season)
13/04/2015,Timberwolves,,Kevin Martin,illness (DTD)
13/04/2015,Timberwolves,,Ricky Rubio,exploratory surgery on left ankle (out for season)
13/04/2015,Timberwolves,Robbie Hummel,,returned to lineup
13/04/2015,Warriors,Leandro Barbosa,,returned to lineup
14/04/2015,Raptors,,DeMar DeRozan,rest (DTD)
14/04/2015,Suns,,Marcus Morris,stomach virus (out for season)
15/04/2015,76ers,,Furkan Aldemir,plantar fasciitis in right foot (out for season)
15/04/2015,Blazers,,C.J. McCollum,sprained left ankle (DTD)
